"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,44.07 Social work,,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 4,2021,2021,2021,2021,2021,2021,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"30,335,920","14,861,245","15,474,670","174,675","28,520","146,155",,
Occupation - not applicable 13,"9,705,395","4,171,210","5,534,190","35,515","6,735","28,775",,
All occupations 14,"20,630,520","10,690,035","9,940,485","139,160","21,785","117,375",,
0 Legislative and senior management occupations,"267,690","186,230","81,460","1,715",415,"1,305",,
00 Legislative and senior managers,"267,690","186,230","81,460","1,715",415,"1,305",,
000 Legislative and senior managers,"267,690","186,230","81,460","1,715",415,"1,305",,
0001 Legislative and senior managers,"267,690","186,230","81,460","1,715",415,"1,305",,
00010 Legislators,"9,385","5,370","4,020",275,50,230,,
00018 Seniors managers - public and private sector 15,"258,305","180,865","77,440","1,440",365,"1,075",,
"1 Business, finance and administration occupations","3,557,055","1,135,350","2,421,705","12,770","1,275","11,495",,
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","206,590","247,050","1,320",210,"1,110",,
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","206,590","247,050","1,320",210,"1,110",,
1001 Administrative services managers,"207,885","89,775","118,115",795,120,670,,
10010 Financial managers,"78,200","32,520","45,680",65,0,60,,
10011 Human resources managers,"52,360","16,710","35,655",305,40,270,,
10012 Purchasing managers,"27,900","17,225","10,675",60,10,60,,
10019 Other administrative services managers,"49,425","23,320","26,105",355,70,285,,
1002 Managers in financial and business services,"234,915","109,235","125,675",520,85,435,,
"10020 Insurance, real estate and financial brokerage managers","37,760","20,565","17,195",75,10,70,,
"10021 Banking, credit and other investment managers","77,720","37,100","40,615",160,25,135,,
"10022 Advertising, marketing and public relations managers","95,605","38,795","56,810",195,30,160,,
10029 Other business services managers,"23,835","12,775","11,060",100,20,80,,
1003 Managers in communication (except broadcasting),"10,840","7,580","3,260",0,0,0,,
10030 Telecommunication carriers managers,"10,840","7,580","3,260",0,0,0,,
11 Professional occupations in finance and business,"794,045","351,440","442,605","1,980",320,"1,660",,
111 Professional occupations in finance,"422,595","211,050","211,545",455,60,400,,
"1110 Auditors, accountants and investment professionals","422,595","211,050","211,545",455,60,400,,
11100 Financial auditors and accountants,"211,865","95,450","116,415",110,0,105,,
11101 Financial and investment analysts,"61,240","34,150","27,085",50,0,40,,
11102 Financial advisors,"101,930","56,355","45,570",195,45,155,,
"11103 Securities agents, investment dealers and brokers","15,880","11,115","4,765",15,0,15,,
11109 Other financial officers,"31,675","13,975","17,705",90,10,80,,
112 Professional occupations in business,"371,455","140,395","231,060","1,525",265,"1,265",,
1120 Human resources and business service professionals,"371,455","140,395","231,060","1,525",265,"1,265",,
11200 Human resources professionals,"99,785","25,680","74,105",770,140,630,,
11201 Professional occupations in business management consulting,"113,075","62,030","51,040",375,75,300,,
"11202 Professional occupations in advertising, marketing and public relations","158,600","52,680","105,920",385,45,335,,
12 Administrative and financial supervisors and specialized administrative occupations,"523,055","152,815","370,240","2,210",220,"1,990",,
120 Administrative and financial supervisors,"70,690","35,030","35,660",275,55,220,,
1201 Administrative and financial supervisors,"70,690","35,030","35,660",275,55,220,,
"12010 Supervisors, general office and administrative support workers","19,380","8,130","11,245",140,25,115,,
"12011 Supervisors, finance and insurance office workers","18,350","4,180","14,175",50,10,45,,
"12012 Supervisors, library, correspondence and related information workers","3,420","1,190","2,230",20,0,15,,
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","29,540","21,530","8,005",65,25,35,,
121 Specialized administrative occupations,"229,445","64,730","164,715","1,295",110,"1,185",,
1210 Administrative and regulatory occupations,"203,740","59,625","144,110","1,215",105,"1,110",,
12100 Executive assistants,"50,205","4,695","45,505",325,10,315,,
12101 Human resources and recruitment officers,"43,415","12,340","31,075",290,35,260,,
12102 Procurement and purchasing agents and officers,"52,200","24,405","27,795",120,15,105,,
12103 Conference and event planners,"24,200","6,485","17,715",140,10,125,,
12104 Employment insurance and revenue officers,"33,725","11,705","22,020",340,35,305,,
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","25,705","5,105","20,605",80,0,75,,
"12110 Court reporters, medical transcriptionists and related occupations","10,390",970,"9,420",25,0,20,,
12111 Health information management occupations,"6,495",805,"5,685",15,0,20,,
12112 Records management technicians,"3,010",875,"2,135",10,0,10,,
12113 Statistical officers and related research support occupations,"5,810","2,450","3,365",35,0,35,,
"122 Accounting, insurance and related business administrative occupations","222,925","53,055","169,870",640,50,590,,
"1220 Accounting, insurance and related business administrative occupations","222,925","53,055","169,870",640,50,590,,
12200 Accounting technicians and bookkeepers,"156,740","23,040","133,705",350,10,340,,
12201 Insurance adjusters and claims examiners,"31,885","12,730","19,155",195,35,160,,
12202 Insurance underwriters,"17,400","5,615","11,785",55,0,50,,
"12203 Assessors, business valuators and appraisers","16,900","11,675","5,225",45,0,40,,
13 Administrative occupations and transportation logistics occupations,"817,585","125,115","692,465","3,970",220,"3,750",,
131 Administrative occupations,"760,410","95,290","665,120","3,850",190,"3,655",,
"1310 Administrative, property and payroll officers","387,560","73,345","314,210","2,265",150,"2,120",,
13100 Administrative officers,"294,790","45,250","249,540","1,815",85,"1,730",,
13101 Property administrators,"50,705","22,960","27,745",345,55,290,,
13102 Payroll administrators,"42,065","5,135","36,925",105,0,105,,
"1311 Office administrative assistants - general, legal and medical","372,855","21,945","350,910","1,575",45,"1,535",,
13110 Administrative assistants,"289,640","16,915","272,725","1,360",30,"1,330",,
13111 Legal administrative assistants,"46,845","3,555","43,290",90,0,85,,
13112 Medical administrative assistants,"36,365","1,470","34,895",135,10,125,,
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"57,170","29,830","27,340",125,30,95,,
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"57,170","29,830","27,340",125,30,95,,
"13200 Customs, ship and other brokers","5,130","2,060","3,070",10,0,10,,
13201 Production and transportation logistics coordinators,"52,040","27,765","24,275",115,30,90,,
14 Administrative and financial support and supply chain logistics occupations,"968,725","299,385","669,340","3,295",310,"2,985",,
"141 Office, court, and data support occupations","453,855","71,980","381,875","2,150",150,"2,000",,
1410 Office support and court services occupations,"388,045","53,290","334,755","1,830",120,"1,710",,
14100 General office support workers,"203,185","35,550","167,630",975,70,905,,
14101 Receptionists,"167,150","14,060","153,100",735,40,695,,
14102 Personnel clerks,"12,400","2,535","9,870",70,0,65,,
14103 Court clerks and related court services occupations,"5,305","1,150","4,155",45,0,45,,
"1411 Survey, statistical and data entry occupations","65,810","18,690","47,120",325,30,295,,
14110 Survey interviewers and statistical clerks,"18,095","6,910","11,185",115,15,100,,
14111 Data entry clerks,"46,895","11,355","35,545",200,10,190,,
14112 Desktop publishing operators and related occupations,815,425,395,0,0,0,,
"142 Financial, insurance and related administrative support workers","216,485","42,585","173,900",500,30,465,,
"1420 Financial, insurance and related administrative support workers","216,485","42,585","173,900",500,30,465,,
14200 Accounting and related clerks,"182,470","33,270","149,200",330,20,310,,
"14201 Banking, insurance and other financial clerks","20,715","5,415","15,300",125,15,115,,
14202 Collection clerks,"13,300","3,900","9,400",40,0,40,,
"143 Library, correspondence and other clerks","35,940","8,360","27,580",185,20,165,,
"1430 Library, correspondence and other clerks","35,940","8,360","27,580",185,20,165,,
14300 Library assistants and clerks,"14,975","2,710","12,265",90,15,80,,
"14301 Correspondence, publication and regulatory clerks","20,955","5,645","15,315",95,0,90,,
"144 Supply chain logistics, tracking and scheduling coordination occupations","262,445","176,465","85,980",465,110,355,,
"1440 Supply chain logistics, tracking and scheduling coordination occupations","262,445","176,465","85,980",465,110,355,,
14400 Shippers and receivers,"130,705","97,230","33,485",140,50,95,,
14401 Storekeepers and partspersons,"47,470","37,190","10,290",45,25,25,,
14402 Production logistics workers,"9,340","4,450","4,890",30,0,30,,
14403 Purchasing and inventory control workers,"38,130","20,595","17,535",65,15,55,,
14404 Dispatchers,"32,495","15,030","17,465",165,25,140,,
14405 Transportation route and crew schedulers,"4,295","1,980","2,320",15,0,15,,
2 Natural and applied sciences and related occupations,"1,666,685","1,257,790","408,895","1,055",325,730,,
"20 Specialized middle management occupations in engineering, architecture, science and information systems","134,625","99,215","35,410",100,25,80,,
"200 Specialized middle management occupations in engineering, architecture, science and information systems","134,625","99,215","35,410",100,25,80,,
"2001 Managers in engineering, architecture, science and information systems","134,625","99,215","35,410",100,25,80,,
20010 Engineering managers,"32,775","26,760","6,015",0,0,0,,
20011 Architecture and science managers,"15,610","8,445","7,170",0,0,0,,
20012 Computer and information systems managers,"86,235","64,010","22,230",95,20,70,,
21 Professional occupations in natural and applied sciences,"966,165","715,820","250,345",560,180,375,,
211 Professional occupations in natural sciences,"105,080","56,280","48,795",150,35,115,,
2110 Physical science professionals,"33,730","21,020","12,715",15,0,15,,
21100 Physicists and astronomers,"2,755","2,140",610,0,0,0,,
21101 Chemists,"17,280","8,885","8,400",10,0,10,,
21102 Geoscientists and oceanographers,"12,140","8,885","3,250",0,0,0,,
21103 Meteorologists and climatologists,940,700,240,0,0,0,,
21109 Other professional occupations in physical sciences,620,405,210,0,0,0,,
2111 Life science professionals,"50,005","23,900","26,105",65,10,55,,
21110 Biologists and related scientists,"36,960","15,050","21,915",65,10,55,,
21111 Forestry professionals,"5,545","4,390","1,160",0,0,0,,
"21112 Agricultural representatives, consultants and specialists","7,495","4,465","3,035",0,0,0,,
2112 Public and environmental health and safety professionals,"21,345","11,370","9,980",65,20,50,,
21120 Public and environmental health and safety professionals,"21,345","11,370","9,980",65,20,50,,
212 Professional occupations in applied sciences (except engineering),"600,375","440,245","160,130",375,120,255,,
"2120 Architects, urban planners and land surveyors","51,625","32,865","18,755",60,25,35,,
21200 Architects,"20,975","13,030","7,950",0,0,0,,
21201 Landscape architects,"2,270","1,170","1,100",0,0,0,,
21202 Urban and land use planners,"20,615","11,630","8,985",45,20,30,,
21203 Land surveyors,"7,760","7,040",720,0,0,0,,
"2121 Mathematicians, statisticians, actuaries and data scientists","29,490","18,450","11,045",10,10,0,,
"21210 Mathematicians, statisticians and actuaries","14,075","7,630","6,445",10,10,0,,
21211 Data scientists,"15,420","10,820","4,600",0,0,0,,
2122 Computer and information systems professionals,"217,385","149,320","68,070",180,35,145,,
21220 Cybersecurity specialists,"15,060","12,195","2,865",10,0,0,,
21221 Business systems specialists,"32,630","17,790","14,835",40,0,35,,
21222 Information systems specialists,"143,475","103,735","39,745",85,25,60,,
21223 Database analysts and data administrators,"26,225","15,600","10,630",40,0,40,,
"2123 Computer, software and Web designers and developers","301,875","239,615","62,260",125,55,75,,
21230 Computer systems developers and programmers,"44,720","36,465","8,255",45,15,30,,
21231 Software engineers and designers,"90,570","74,150","16,420",15,0,10,,
21232 Software developers and programmers,"95,220","77,475","17,750",25,10,15,,
21233 Web designers,"13,700","7,905","5,795",20,10,10,,
21234 Web developers and programmers,"57,665","43,620","14,045",20,10,10,,
213 Professional occupations in engineering,"260,710","219,290","41,420",35,25,10,,
2130 Civil and mechanical engineers,"128,480","108,905","19,580",10,10,0,,
21300 Civil engineers,"69,790","56,550","13,245",10,10,0,,
21301 Mechanical engineers,"58,690","52,355","6,335",0,0,0,,
"2131 Electrical, electronics and computer engineers","74,625","65,400","9,215",10,10,0,,
21310 Electrical and electronics engineers,"47,890","41,985","5,905",0,0,0,,
21311 Computer engineers (except software engineers and designers),"26,730","23,415","3,315",10,10,0,,
2132 Manufacturing and processing engineers,"32,030","23,935","8,095",10,0,10,,
21320 Chemical engineers,"12,075","8,405","3,675",0,0,0,,
21321 Industrial and manufacturing engineers,"17,095","13,240","3,860",0,0,0,,
21322 Metallurgical and materials engineers,"2,855","2,290",565,0,0,0,,
2133 Natural resources engineers,"13,200","10,820","2,380",0,0,0,,
21330 Mining engineers,"3,575","2,995",580,0,0,0,,
21331 Geological engineers,"3,905","3,100",800,0,0,0,,
21332 Petroleum engineers,"5,720","4,725",995,0,0,0,,
2139 Other engineers,"12,380","10,230","2,150",0,0,0,,
21390 Aerospace engineers,"5,785","4,995",790,0,0,0,,
21399 Other professional engineers,"6,595","5,235","1,360",0,0,0,,
22 Technical occupations related to natural and applied sciences,"565,895","442,760","123,135",390,120,270,,
221 Technical occupations related to natural sciences,"75,610","47,920","27,695",85,20,65,,
2210 Technical occupations in physical sciences,"21,850","13,405","8,445",30,10,20,,
22100 Chemical technologists and technicians,"13,315","6,565","6,760",10,0,10,,
22101 Geological and mineral technologists and technicians,"8,530","6,845","1,685",15,10,10,,
2211 Technical occupations in life sciences,"53,760","34,515","19,250",55,10,45,,
22110 Biological technologists and technicians,"11,025","5,325","5,700",10,0,10,,
22111 Agricultural and fish products inspectors,"3,740","1,990","1,750",0,0,0,,
22112 Forestry technologists and technicians,"7,240","5,630","1,610",10,0,10,,
22113 Conservation and fishery officers,"3,955","2,900","1,055",10,10,0,,
22114 Landscape and horticulture technicians and specialists,"27,800","18,675","9,125",35,0,30,,
222 Technical occupations related to applied sciences (except engineering),"269,225","198,840","70,385",220,50,165,,
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","69,035","45,530","23,505",30,10,20,,
22210 Architectural technologists and technicians,"14,705","8,860","5,840",0,0,0,,
22211 Industrial designers,"11,495","7,030","4,465",15,10,10,,
22212 Drafting technologists and technicians,"29,820","20,640","9,180",0,0,0,,
22213 Land survey technologists and technicians,"3,540","2,960",585,0,0,0,,
22214 Technical occupations in geomatics and meteorology,"9,475","6,040","3,435",0,0,0,,
2222 Technical occupations in computer and information systems,"147,060","114,305","32,755",140,25,110,,
22220 Computer network and web technicians,"70,545","59,370","11,170",50,20,30,,
22221 User support technicians,"65,285","47,765","17,515",60,0,60,,
22222 Information systems testing technicians,"11,235","7,165","4,070",25,0,20,,
2223 Technical inspectors and regulatory officers,"53,130","39,010","14,120",55,20,35,,
22230 Non-destructive testers and inspectors,"7,170","6,555",610,0,0,0,,
22231 Engineering inspectors and regulatory officers,"7,450","5,200","2,255",0,0,0,,
22232 Occupational health and safety specialists,"20,965","12,700","8,265",30,20,10,,
22233 Construction inspectors,"17,550","14,560","2,990",15,0,15,,
223 Technical occupations related to engineering,"221,055","196,000","25,055",85,50,40,,
"2230 Technical occupations in civil, mechanical and industrial engineering","103,095","87,610","15,485",45,20,25,,
22300 Civil engineering technologists and technicians,"23,675","19,005","4,670",10,0,0,,
22301 Mechanical engineering technologists and technicians,"33,115","30,840","2,280",10,0,0,,
22302 Industrial engineering and manufacturing technologists and technicians,"17,775","14,185","3,590",10,10,0,,
22303 Construction estimators,"28,525","23,580","4,945",20,0,20,,
2231 Technical occupations in electronics and electrical engineering,"117,965","108,390","9,575",45,25,15,,
22310 Electrical and electronics engineering technologists and technicians,"47,425","42,170","5,255",10,0,0,,
22311 Electronic service technicians (household and business equipment),"55,150","51,720","3,420",30,20,15,,
22312 Industrial instrument technicians and mechanics,"9,615","9,165",455,0,0,0,,
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","5,775","5,330",440,0,0,0,,
3 Health occupations,"1,601,710","315,180","1,286,535","5,240",785,"4,455",,
30 Specialized middle management occupations in health care,"39,060","9,650","29,410","1,040",170,865,,
300 Specialized middle management occupations in health care,"39,060","9,650","29,410","1,040",170,865,,
3001 Managers in health care,"39,060","9,650","29,410","1,040",170,865,,
30010 Managers in health care,"39,060","9,650","29,410","1,040",170,865,,
31 Professional occupations in health,"692,825","160,895","531,935",710,105,615,,
311 Health treating and consultation services professionals,"225,380","100,070","125,310",50,0,40,,
3110 Physicians and veterinarians,"124,000","64,520","59,480",15,0,10,,
31100 Specialists in clinical and laboratory medicine,"37,655","21,210","16,445",0,0,0,,
31101 Specialists in surgery,"11,120","7,500","3,620",0,0,0,,
31102 General practitioners and family physicians,"63,175","31,580","31,600",10,0,0,,
31103 Veterinarians,"12,055","4,235","7,820",0,0,0,,
"3111 Dentists, optometrists and audiologists","44,435","17,860","26,575",10,0,10,,
31110 Dentists,"24,565","14,165","10,395",0,0,0,,
31111 Optometrists,"6,945","2,860","4,090",0,0,0,,
31112 Audiologists and speech-language pathologists,"12,925",840,"12,085",10,0,10,,
3112 Pharmacists and dietitians,"56,940","17,685","39,255",25,0,25,,
31120 Pharmacists,"44,860","17,155","27,705",0,0,0,,
31121 Dietitians and nutritionists,"12,085",535,"11,555",20,0,20,,
312 Therapy and assessment professionals,"96,365","25,235","71,130",140,20,115,,
3120 Therapy and assessment professionals,"96,365","25,235","71,130",140,20,115,,
31200 Psychologists,"20,680","4,515","16,170",15,0,15,,
31201 Chiropractors,"9,800","5,890","3,910",0,0,0,,
31202 Physiotherapists,"28,055","7,770","20,285",40,0,35,,
31203 Occupational therapists,"18,580","1,610","16,970",20,0,20,,
31204 Kinesiologists and other professional occupations in therapy and assessment,"11,540","3,435","8,100",40,10,35,,
31209 Other professional occupations in health diagnosing and treating,"7,715","2,020","5,695",20,0,15,,
313 Nursing and allied health professionals,"371,085","35,590","335,495",525,70,450,,
3130 Nursing and allied health professionals,"371,085","35,590","335,495",525,70,450,,
31300 Nursing coordinators and supervisors,"15,020","1,545","13,475",260,45,215,,
31301 Registered nurses and registered psychiatric nurses,"346,095","32,870","313,225",260,25,225,,
31302 Nurse practitioners,"6,785",570,"6,220",0,0,0,,
"31303 Physician assistants, midwives and allied health professionals","3,185",605,"2,585",10,0,10,,
32 Technical occupations in health,"354,405","72,095","282,305",750,90,660,,
321 Technical occupations in health (except practitioners of natural healing),"299,425","61,165","238,265",485,60,420,,
3210 Technical occupations in therapy and assessment,"176,305","39,525","136,775",330,55,270,,
32100 Opticians,"10,260","3,035","7,230",15,0,15,,
32101 Licensed practical nurses,"78,340","8,090","70,250",115,15,95,,
32102 Paramedical occupations,"31,870","19,780","12,095",45,20,30,,
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","13,855","3,465","10,395",25,0,25,,
32104 Animal health technologists and veterinary technicians,"22,650","1,820","20,830",30,0,30,,
32109 Other technical occupations in therapy and assessment,"19,325","3,340","15,980",95,20,75,,
3211 Technical occupations in dental health care,"37,940","5,790","32,150",30,0,30,,
32110 Denturists,"2,740","1,685","1,055",0,0,0,,
32111 Dental hygienists and dental therapists,"29,705",935,"28,770",25,0,25,,
32112 Dental technologists and technicians,"5,495","3,170","2,325",0,0,0,,
3212 Medical technologists and technicians,"85,190","15,850","69,340",130,10,115,,
32120 Medical laboratory technologists,"20,940","4,180","16,760",10,0,10,,
32121 Medical radiation technologists,"20,755","4,400","16,350",20,0,20,,
32122 Medical sonographers,"6,985",980,"6,005",0,0,0,,
32123 Cardiology technologists and electrophysiological diagnostic technologists,"3,260",605,"2,650",0,0,0,,
32124 Pharmacy technicians,"27,965","3,775","24,190",85,0,85,,
32129 Other medical technologists and technicians,"5,290","1,905","3,385",0,0,0,,
322 Practitioners of natural healing,"54,975","10,935","44,040",265,25,235,,
3220 Practitioners of natural healing,"54,975","10,935","44,040",265,25,235,,
32200 Traditional Chinese medicine practitioners and acupuncturists,"5,175","1,740","3,435",25,0,20,,
32201 Massage therapists,"43,665","8,150","35,515",195,20,175,,
