"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,"52.02 Business administration, management and operations",,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 4,2021,2021,2021,2021,2021,2021,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,"30,335,920","14,861,245","15,474,670","848,065","414,495","433,575",,
Occupation - not applicable 13,"9,705,395","4,171,210","5,534,190","158,835","74,220","84,620",,
All occupations 14,"20,630,520","10,690,035","9,940,485","689,230","340,270","348,960",,
0 Legislative and senior management occupations,"267,690","186,230","81,460","27,180","18,745","8,435",,
00 Legislative and senior managers,"267,690","186,230","81,460","27,180","18,745","8,435",,
000 Legislative and senior managers,"267,690","186,230","81,460","27,180","18,745","8,435",,
0001 Legislative and senior managers,"267,690","186,230","81,460","27,180","18,745","8,435",,
00010 Legislators,"9,385","5,370","4,020",525,295,230,,
00018 Seniors managers - public and private sector 15,"258,305","180,865","77,440","26,655","18,450","8,205",,
"1 Business, finance and administration occupations","3,557,055","1,135,350","2,421,705","282,430","104,415","178,020",,
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","206,590","247,050","51,780","25,870","25,910",,
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","206,590","247,050","51,780","25,870","25,910",,
1001 Administrative services managers,"207,885","89,775","118,115","26,180","12,275","13,905",,
10010 Financial managers,"78,200","32,520","45,680","9,700","4,530","5,175",,
10011 Human resources managers,"52,360","16,710","35,655","5,515","1,725","3,795",,
10012 Purchasing managers,"27,900","17,225","10,675","5,835","3,605","2,235",,
10019 Other administrative services managers,"49,425","23,320","26,105","5,125","2,415","2,705",,
1002 Managers in financial and business services,"234,915","109,235","125,675","24,390","12,755","11,635",,
"10020 Insurance, real estate and financial brokerage managers","37,760","20,565","17,195","3,720","2,300","1,420",,
"10021 Banking, credit and other investment managers","77,720","37,100","40,615","10,515","5,730","4,785",,
"10022 Advertising, marketing and public relations managers","95,605","38,795","56,810","8,330","3,710","4,620",,
10029 Other business services managers,"23,835","12,775","11,060","1,825","1,015",810,,
1003 Managers in communication (except broadcasting),"10,840","7,580","3,260","1,210",840,370,,
10030 Telecommunication carriers managers,"10,840","7,580","3,260","1,210",840,370,,
11 Professional occupations in finance and business,"794,045","351,440","442,605","82,310","39,145","43,165",,
111 Professional occupations in finance,"422,595","211,050","211,545","42,520","21,790","20,730",,
"1110 Auditors, accountants and investment professionals","422,595","211,050","211,545","42,520","21,790","20,730",,
11100 Financial auditors and accountants,"211,865","95,450","116,415","18,240","8,550","9,695",,
11101 Financial and investment analysts,"61,240","34,150","27,085","7,765","4,185","3,590",,
11102 Financial advisors,"101,930","56,355","45,570","11,930","6,755","5,175",,
"11103 Securities agents, investment dealers and brokers","15,880","11,115","4,765","1,285",880,405,,
11109 Other financial officers,"31,675","13,975","17,705","3,300","1,430","1,870",,
112 Professional occupations in business,"371,455","140,395","231,060","39,795","17,355","22,430",,
1120 Human resources and business service professionals,"371,455","140,395","231,060","39,795","17,355","22,430",,
11200 Human resources professionals,"99,785","25,680","74,105","10,115","2,470","7,645",,
11201 Professional occupations in business management consulting,"113,075","62,030","51,040","18,530","10,660","7,865",,
"11202 Professional occupations in advertising, marketing and public relations","158,600","52,680","105,920","11,145","4,225","6,920",,
12 Administrative and financial supervisors and specialized administrative occupations,"523,055","152,815","370,240","43,720","14,750","28,970",,
120 Administrative and financial supervisors,"70,690","35,030","35,660","5,820","2,730","3,085",,
1201 Administrative and financial supervisors,"70,690","35,030","35,660","5,820","2,730","3,085",,
"12010 Supervisors, general office and administrative support workers","19,380","8,130","11,245","1,585",575,"1,010",,
"12011 Supervisors, finance and insurance office workers","18,350","4,180","14,175","1,765",495,"1,270",,
"12012 Supervisors, library, correspondence and related information workers","3,420","1,190","2,230",220,65,155,,
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","29,540","21,530","8,005","2,250","1,590",655,,
121 Specialized administrative occupations,"229,445","64,730","164,715","22,895","7,560","15,335",,
1210 Administrative and regulatory occupations,"203,740","59,625","144,110","22,060","7,350","14,705",,
12100 Executive assistants,"50,205","4,695","45,505","4,705",470,"4,235",,
12101 Human resources and recruitment officers,"43,415","12,340","31,075","4,345","1,215","3,130",,
12102 Procurement and purchasing agents and officers,"52,200","24,405","27,795","8,900","4,190","4,705",,
12103 Conference and event planners,"24,200","6,485","17,715","1,195",330,870,,
12104 Employment insurance and revenue officers,"33,725","11,705","22,020","2,910","1,140","1,770",,
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","25,705","5,105","20,605",840,215,625,,
"12110 Court reporters, medical transcriptionists and related occupations","10,390",970,"9,420",200,25,175,,
12111 Health information management occupations,"6,495",805,"5,685",195,25,165,,
12112 Records management technicians,"3,010",875,"2,135",185,45,140,,
12113 Statistical officers and related research support occupations,"5,810","2,450","3,365",255,115,140,,
"122 Accounting, insurance and related business administrative occupations","222,925","53,055","169,870","15,015","4,465","10,550",,
"1220 Accounting, insurance and related business administrative occupations","222,925","53,055","169,870","15,015","4,465","10,550",,
12200 Accounting technicians and bookkeepers,"156,740","23,040","133,705","9,990","1,945","8,040",,
12201 Insurance adjusters and claims examiners,"31,885","12,730","19,155","2,120",870,"1,250",,
12202 Insurance underwriters,"17,400","5,615","11,785","1,405",555,850,,
"12203 Assessors, business valuators and appraisers","16,900","11,675","5,225","1,490","1,090",405,,
13 Administrative occupations and transportation logistics occupations,"817,585","125,115","692,465","61,880","12,300","49,580",,
131 Administrative occupations,"760,410","95,290","665,120","55,050","8,665","46,385",,
"1310 Administrative, property and payroll officers","387,560","73,345","314,210","34,120","7,235","26,885",,
13100 Administrative officers,"294,790","45,250","249,540","27,190","5,335","21,855",,
13101 Property administrators,"50,705","22,960","27,745","3,275","1,410","1,870",,
13102 Payroll administrators,"42,065","5,135","36,925","3,655",495,"3,165",,
"1311 Office administrative assistants - general, legal and medical","372,855","21,945","350,910","20,930","1,425","19,505",,
13110 Administrative assistants,"289,640","16,915","272,725","18,605","1,225","17,375",,
13111 Legal administrative assistants,"46,845","3,555","43,290","1,285",120,"1,170",,
13112 Medical administrative assistants,"36,365","1,470","34,895","1,040",80,960,,
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"57,170","29,830","27,340","6,830","3,640","3,195",,
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"57,170","29,830","27,340","6,830","3,640","3,195",,
"13200 Customs, ship and other brokers","5,130","2,060","3,070",705,265,440,,
13201 Production and transportation logistics coordinators,"52,040","27,765","24,275","6,125","3,375","2,750",,
14 Administrative and financial support and supply chain logistics occupations,"968,725","299,385","669,340","42,735","12,340","30,395",,
"141 Office, court, and data support occupations","453,855","71,980","381,875","17,180","2,725","14,455",,
1410 Office support and court services occupations,"388,045","53,290","334,755","14,425","2,000","12,425",,
14100 General office support workers,"203,185","35,550","167,630","8,900","1,405","7,495",,
14101 Receptionists,"167,150","14,060","153,100","4,460",355,"4,105",,
14102 Personnel clerks,"12,400","2,535","9,870",900,205,695,,
14103 Court clerks and related court services occupations,"5,305","1,150","4,155",160,30,135,,
"1411 Survey, statistical and data entry occupations","65,810","18,690","47,120","2,755",730,"2,025",,
14110 Survey interviewers and statistical clerks,"18,095","6,910","11,185",710,265,440,,
14111 Data entry clerks,"46,895","11,355","35,545","2,000",450,"1,550",,
14112 Desktop publishing operators and related occupations,815,425,395,45,10,35,,
"142 Financial, insurance and related administrative support workers","216,485","42,585","173,900","15,085","3,660","11,425",,
"1420 Financial, insurance and related administrative support workers","216,485","42,585","173,900","15,085","3,660","11,425",,
14200 Accounting and related clerks,"182,470","33,270","149,200","12,630","2,865","9,765",,
"14201 Banking, insurance and other financial clerks","20,715","5,415","15,300","1,585",485,"1,100",,
14202 Collection clerks,"13,300","3,900","9,400",875,305,565,,
"143 Library, correspondence and other clerks","35,940","8,360","27,580","1,375",340,"1,040",,
"1430 Library, correspondence and other clerks","35,940","8,360","27,580","1,375",340,"1,040",,
14300 Library assistants and clerks,"14,975","2,710","12,265",325,60,270,,
"14301 Correspondence, publication and regulatory clerks","20,955","5,645","15,315","1,055",285,775,,
"144 Supply chain logistics, tracking and scheduling coordination occupations","262,445","176,465","85,980","9,095","5,615","3,485",,
"1440 Supply chain logistics, tracking and scheduling coordination occupations","262,445","176,465","85,980","9,095","5,615","3,485",,
14400 Shippers and receivers,"130,705","97,230","33,485","3,120","2,170",950,,
14401 Storekeepers and partspersons,"47,470","37,190","10,290","1,220",970,250,,
14402 Production logistics workers,"9,340","4,450","4,890",560,275,290,,
14403 Purchasing and inventory control workers,"38,130","20,595","17,535","2,620","1,370","1,250",,
14404 Dispatchers,"32,495","15,030","17,465","1,295",695,600,,
14405 Transportation route and crew schedulers,"4,295","1,980","2,320",285,140,145,,
2 Natural and applied sciences and related occupations,"1,666,685","1,257,790","408,895","53,110","37,110","15,995",,
"20 Specialized middle management occupations in engineering, architecture, science and information systems","134,625","99,215","35,410","10,670","7,495","3,175",,
"200 Specialized middle management occupations in engineering, architecture, science and information systems","134,625","99,215","35,410","10,670","7,495","3,175",,
"2001 Managers in engineering, architecture, science and information systems","134,625","99,215","35,410","10,670","7,495","3,175",,
20010 Engineering managers,"32,775","26,760","6,015","2,020","1,505",515,,
20011 Architecture and science managers,"15,610","8,445","7,170",725,470,255,,
20012 Computer and information systems managers,"86,235","64,010","22,230","7,925","5,520","2,405",,
21 Professional occupations in natural and applied sciences,"966,165","715,820","250,345","31,315","21,875","9,440",,
211 Professional occupations in natural sciences,"105,080","56,280","48,795","1,210",715,495,,
2110 Physical science professionals,"33,730","21,020","12,715",210,160,50,,
21100 Physicists and astronomers,"2,755","2,140",610,10,0,0,,
21101 Chemists,"17,280","8,885","8,400",70,40,30,,
21102 Geoscientists and oceanographers,"12,140","8,885","3,250",110,100,10,,
21103 Meteorologists and climatologists,940,700,240,15,10,0,,
21109 Other professional occupations in physical sciences,620,405,210,10,10,0,,
2111 Life science professionals,"50,005","23,900","26,105",425,220,200,,
21110 Biologists and related scientists,"36,960","15,050","21,915",235,85,150,,
21111 Forestry professionals,"5,545","4,390","1,160",90,65,25,,
"21112 Agricultural representatives, consultants and specialists","7,495","4,465","3,035",105,75,30,,
2112 Public and environmental health and safety professionals,"21,345","11,370","9,980",575,330,245,,
21120 Public and environmental health and safety professionals,"21,345","11,370","9,980",575,330,245,,
212 Professional occupations in applied sciences (except engineering),"600,375","440,245","160,130","24,655","16,445","8,215",,
"2120 Architects, urban planners and land surveyors","51,625","32,865","18,755","1,320",860,455,,
21200 Architects,"20,975","13,030","7,950",300,235,70,,
21201 Landscape architects,"2,270","1,170","1,100",15,0,15,,
21202 Urban and land use planners,"20,615","11,630","8,985",950,575,375,,
21203 Land surveyors,"7,760","7,040",720,55,55,0,,
"2121 Mathematicians, statisticians, actuaries and data scientists","29,490","18,450","11,045",760,530,230,,
"21210 Mathematicians, statisticians and actuaries","14,075","7,630","6,445",255,170,95,,
21211 Data scientists,"15,420","10,820","4,600",505,365,140,,
2122 Computer and information systems professionals,"217,385","149,320","68,070","16,100","10,275","5,830",,
21220 Cybersecurity specialists,"15,060","12,195","2,865",740,575,170,,
21221 Business systems specialists,"32,630","17,790","14,835","3,960","2,285","1,675",,
21222 Information systems specialists,"143,475","103,735","39,745","9,965","6,665","3,300",,
21223 Database analysts and data administrators,"26,225","15,600","10,630","1,435",750,680,,
"2123 Computer, software and Web designers and developers","301,875","239,615","62,260","6,475","4,780","1,695",,
21230 Computer systems developers and programmers,"44,720","36,465","8,255",895,635,250,,
21231 Software engineers and designers,"90,570","74,150","16,420","1,820","1,480",335,,
21232 Software developers and programmers,"95,220","77,475","17,750","1,900","1,410",485,,
21233 Web designers,"13,700","7,905","5,795",355,205,150,,
21234 Web developers and programmers,"57,665","43,620","14,045","1,510","1,040",475,,
213 Professional occupations in engineering,"260,710","219,290","41,420","5,450","4,715",730,,
2130 Civil and mechanical engineers,"128,480","108,905","19,580","2,415","2,120",290,,
21300 Civil engineers,"69,790","56,550","13,245","1,265","1,075",195,,
21301 Mechanical engineers,"58,690","52,355","6,335","1,145","1,045",100,,
"2131 Electrical, electronics and computer engineers","74,625","65,400","9,215","1,640","1,450",190,,
21310 Electrical and electronics engineers,"47,890","41,985","5,905",960,820,145,,
21311 Computer engineers (except software engineers and designers),"26,730","23,415","3,315",680,630,45,,
2132 Manufacturing and processing engineers,"32,030","23,935","8,095",735,570,165,,
21320 Chemical engineers,"12,075","8,405","3,675",195,145,45,,
21321 Industrial and manufacturing engineers,"17,095","13,240","3,860",495,385,105,,
21322 Metallurgical and materials engineers,"2,855","2,290",565,45,40,10,,
2133 Natural resources engineers,"13,200","10,820","2,380",325,310,10,,
21330 Mining engineers,"3,575","2,995",580,110,110,0,,
21331 Geological engineers,"3,905","3,100",800,40,35,0,,
21332 Petroleum engineers,"5,720","4,725",995,175,165,10,,
2139 Other engineers,"12,380","10,230","2,150",340,270,75,,
21390 Aerospace engineers,"5,785","4,995",790,200,150,50,,
21399 Other professional engineers,"6,595","5,235","1,360",140,120,20,,
22 Technical occupations related to natural and applied sciences,"565,895","442,760","123,135","11,120","7,745","3,380",,
221 Technical occupations related to natural sciences,"75,610","47,920","27,695",965,580,385,,
2210 Technical occupations in physical sciences,"21,850","13,405","8,445",475,250,220,,
22100 Chemical technologists and technicians,"13,315","6,565","6,760",330,165,160,,
22101 Geological and mineral technologists and technicians,"8,530","6,845","1,685",145,85,60,,
2211 Technical occupations in life sciences,"53,760","34,515","19,250",490,325,160,,
22110 Biological technologists and technicians,"11,025","5,325","5,700",75,30,35,,
22111 Agricultural and fish products inspectors,"3,740","1,990","1,750",55,40,15,,
22112 Forestry technologists and technicians,"7,240","5,630","1,610",55,40,10,,
22113 Conservation and fishery officers,"3,955","2,900","1,055",55,30,25,,
22114 Landscape and horticulture technicians and specialists,"27,800","18,675","9,125",260,195,70,,
222 Technical occupations related to applied sciences (except engineering),"269,225","198,840","70,385","6,425","4,165","2,260",,
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","69,035","45,530","23,505",580,355,225,,
22210 Architectural technologists and technicians,"14,705","8,860","5,840",100,60,40,,
22211 Industrial designers,"11,495","7,030","4,465",185,125,60,,
22212 Drafting technologists and technicians,"29,820","20,640","9,180",195,120,80,,
22213 Land survey technologists and technicians,"3,540","2,960",585,15,0,0,,
22214 Technical occupations in geomatics and meteorology,"9,475","6,040","3,435",85,35,40,,
2222 Technical occupations in computer and information systems,"147,060","114,305","32,755","4,535","3,040","1,490",,
22220 Computer network and web technicians,"70,545","59,370","11,170","1,935","1,380",560,,
22221 User support technicians,"65,285","47,765","17,515","2,280","1,520",760,,
22222 Information systems testing technicians,"11,235","7,165","4,070",320,140,175,,
2223 Technical inspectors and regulatory officers,"53,130","39,010","14,120","1,310",770,545,,
22230 Non-destructive testers and inspectors,"7,170","6,555",610,70,55,10,,
22231 Engineering inspectors and regulatory officers,"7,450","5,200","2,255",250,110,140,,
22232 Occupational health and safety specialists,"20,965","12,700","8,265",675,360,315,,
22233 Construction inspectors,"17,550","14,560","2,990",315,245,70,,
223 Technical occupations related to engineering,"221,055","196,000","25,055","3,735","3,000",735,,
"2230 Technical occupations in civil, mechanical and industrial engineering","103,095","87,610","15,485","2,150","1,680",475,,
22300 Civil engineering technologists and technicians,"23,675","19,005","4,670",305,240,65,,
22301 Mechanical engineering technologists and technicians,"33,115","30,840","2,280",340,290,50,,
22302 Industrial engineering and manufacturing technologists and technicians,"17,775","14,185","3,590",545,365,180,,
22303 Construction estimators,"28,525","23,580","4,945",960,785,175,,
2231 Technical occupations in electronics and electrical engineering,"117,965","108,390","9,575","1,585","1,320",265,,
22310 Electrical and electronics engineering technologists and technicians,"47,425","42,170","5,255",575,445,130,,
22311 Electronic service technicians (household and business equipment),"55,150","51,720","3,420",875,750,130,,
22312 Industrial instrument technicians and mechanics,"9,615","9,165",455,55,50,0,,
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","5,775","5,330",440,75,75,0,,
3 Health occupations,"1,601,710","315,180","1,286,535","16,015","4,240","11,775",,
30 Specialized middle management occupations in health care,"39,060","9,650","29,410","2,980","1,060","1,920",,
300 Specialized middle management occupations in health care,"39,060","9,650","29,410","2,980","1,060","1,920",,
3001 Managers in health care,"39,060","9,650","29,410","2,980","1,060","1,920",,
30010 Managers in health care,"39,060","9,650","29,410","2,980","1,060","1,920",,
31 Professional occupations in health,"692,825","160,895","531,935","2,720",935,"1,785",,
311 Health treating and consultation services professionals,"225,380","100,070","125,310",930,530,400,,
3110 Physicians and veterinarians,"124,000","64,520","59,480",450,305,140,,
31100 Specialists in clinical and laboratory medicine,"37,655","21,210","16,445",120,75,35,,
31101 Specialists in surgery,"11,120","7,500","3,620",50,40,10,,
31102 General practitioners and family physicians,"63,175","31,580","31,600",235,165,75,,
31103 Veterinarians,"12,055","4,235","7,820",40,25,15,,
"3111 Dentists, optometrists and audiologists","44,435","17,860","26,575",95,45,50,,
31110 Dentists,"24,565","14,165","10,395",50,30,25,,
31111 Optometrists,"6,945","2,860","4,090",15,0,10,,
31112 Audiologists and speech-language pathologists,"12,925",840,"12,085",30,10,20,,
3112 Pharmacists and dietitians,"56,940","17,685","39,255",390,185,205,,
31120 Pharmacists,"44,860","17,155","27,705",305,185,125,,
31121 Dietitians and nutritionists,"12,085",535,"11,555",80,0,80,,
312 Therapy and assessment professionals,"96,365","25,235","71,130",330,120,210,,
3120 Therapy and assessment professionals,"96,365","25,235","71,130",330,120,210,,
31200 Psychologists,"20,680","4,515","16,170",35,15,20,,
31201 Chiropractors,"9,800","5,890","3,910",25,25,0,,
31202 Physiotherapists,"28,055","7,770","20,285",90,25,70,,
31203 Occupational therapists,"18,580","1,610","16,970",40,15,25,,
31204 Kinesiologists and other professional occupations in therapy and assessment,"11,540","3,435","8,100",70,25,40,,
31209 Other professional occupations in health diagnosing and treating,"7,715","2,020","5,695",75,25,50,,
313 Nursing and allied health professionals,"371,085","35,590","335,495","1,455",285,"1,175",,
3130 Nursing and allied health professionals,"371,085","35,590","335,495","1,455",285,"1,175",,
31300 Nursing coordinators and supervisors,"15,020","1,545","13,475",165,45,120,,
31301 Registered nurses and registered psychiatric nurses,"346,095","32,870","313,225","1,250",230,"1,015",,
31302 Nurse practitioners,"6,785",570,"6,220",20,0,15,,
"31303 Physician assistants, midwives and allied health professionals","3,185",605,"2,585",25,0,20,,
32 Technical occupations in health,"354,405","72,095","282,305","2,825",810,"2,010",,
321 Technical occupations in health (except practitioners of natural healing),"299,425","61,165","238,265","2,160",645,"1,510",,
3210 Technical occupations in therapy and assessment,"176,305","39,525","136,775","1,390",440,950,,
32100 Opticians,"10,260","3,035","7,230",195,75,120,,
32101 Licensed practical nurses,"78,340","8,090","70,250",475,100,375,,
32102 Paramedical occupations,"31,870","19,780","12,095",270,155,115,,
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","13,855","3,465","10,395",110,30,80,,
32104 Animal health technologists and veterinary technicians,"22,650","1,820","20,830",150,30,125,,
32109 Other technical occupations in therapy and assessment,"19,325","3,340","15,980",190,55,140,,
