Course Code,Grade,Course Title,MyEd BC Code,TRAX Code,Course Category,Lang Of Inst,Developer,Authorizer,Open Date,Close Date,Completion End Date,Credit Value,Grad Program,Grad Program Requirement,HST Main Category,HST Sub Category,Ministry Subject Code
1301192,12,OKANAGAN COL HUMANITIES & ARTS  12D,PHQ--2D,PHQ  12D,External Credential,English,Okanagan College,Ministry of Education and Child Care,7/1/2024,,,"1,2,4",2023 Graduation Program,Elective,13 EDUCATION,"01 EDUCATION, GENERAL",99 UNASSIGNED
1301192,12,OKANAGAN COL HUMANITIES & ARTS  12D,PHQ--2D,PHQ  12D,External Credential,English,Okanagan College,Ministry of Education and Child Care,7/1/2024,,,"1,2,4",Adult Graduation Program,"Grade 12,Elective",13 EDUCATION,"01 EDUCATION, GENERAL",99 UNASSIGNED
1609063,12,CORE FRENCH 12,MFR--12,FR   12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/1973,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,09 ITALIC LANGUAGES,30 Languages
1609063,12,CORE FRENCH 12,MFR--12,FR   12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/1973,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,09 ITALIC LANGUAGES,30 Languages
1609063,12,CORE FRENCH 12,MFR--12,FR   12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/1973,,,4,2018 Graduation Program,Elective,16 FOREIGN LANGUAGES,09 ITALIC LANGUAGES,30 Languages
1609063,12,CORE FRENCH 12,MFR--12,FR   12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/1973,,,4,2023 Graduation Program,Elective,16 FOREIGN LANGUAGES,09 ITALIC LANGUAGES,30 Languages
1609063,12,CORE FRENCH 12,MFR--12,FR   12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/1973,,,4,Adult Graduation Program,"Grade 12,Elective",16 FOREIGN LANGUAGES,09 ITALIC LANGUAGES,30 Languages
1609063,12,CORE FRENCH 12,MFR--12,FR   12,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,1/1/1973,,,4,Course-Based Graduation Program,Elective,16 FOREIGN LANGUAGES,09 ITALIC LANGUAGES,30 Languages
5009544,12,MUSIQUE CHORALE - JAZZ VOCAL 12,FCMJV12,CMJVF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,1995 Graduation Program,Elective,50 VISUAL AND PERFORMING ARTS,09 MUSIC,15 Fine Arts
5009544,12,MUSIQUE CHORALE - JAZZ VOCAL 12,FCMJV12,CMJVF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,2004 Graduation Program,"Applied Skills/Fine Arts 10, 11 or 12,Elective",50 VISUAL AND PERFORMING ARTS,09 MUSIC,15 Fine Arts
5009544,12,MUSIQUE CHORALE - JAZZ VOCAL 12,FCMJV12,CMJVF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,2018 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",50 VISUAL AND PERFORMING ARTS,09 MUSIC,15 Fine Arts
5009544,12,MUSIQUE CHORALE - JAZZ VOCAL 12,FCMJV12,CMJVF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,2023 Graduation Program,"Arts Educ/Applied Design, Skills, and Technologies,Elective",50 VISUAL AND PERFORMING ARTS,09 MUSIC,15 Fine Arts
5009544,12,MUSIQUE CHORALE - JAZZ VOCAL 12,FCMJV12,CMJVF12,Ministry,French,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,Adult Graduation Program,Elective,50 VISUAL AND PERFORMING ARTS,09 MUSIC,15 Fine Arts
1610076,11,INTRODUCTORY HEILTSUK 11,MIHLT11,IHLT 11,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,1995 Graduation Program,Elective,16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
1610076,11,INTRODUCTORY HEILTSUK 11,MIHLT11,IHLT 11,Ministry,English,Ministry of Education and Child Care,Ministry of Education and Child Care,9/1/2002,,,4,2004 Graduation Program,Elective,16 FOREIGN LANGUAGES,10 NATIVE AMERICAN LANGUAGES,30 Languages
